brand,model_original,model_clean
Alfa Romeo,145 Elegant,Elegant
Alfa Romeo,145 Quadrifoglio,Quadrifoglio
Alfa Romeo,145 QV,QV
Alfa Romeo,Spider,Spider
Alfa Romeo,156 Sport Wagon,Sport
Alfa Romeo,155 Super,Super
Alfa Romeo,164 Super V6,Super
Alfa Romeo,2300 TI/TI-4,TI TI
Alfa Romeo,156 TS/Sport/Elegant,TS Sport Elegant
ASTON MARTIN,DB12 Coupe,DB12
ASTON MARTIN,DB12 Volante,DB12 Volante
ASTON MARTIN,DB9 Coupe,DB9
ASTON MARTIN,DB9 Volante,DB9 Volante
ASTON MARTIN,DBS Coupe,DBS
ASTON MARTIN,DBX,DBX
ASTON MARTIN,DBX707,DBX707
ASTON MARTIN,Rapide,Rapide
ASTON MARTIN,Rapide S,Rapide S
ASTON MARTIN,Vanquish V12,Vanquish
ASTON MARTIN,Vantage,Vantage
ASTON MARTIN,Vantage Coupe,Vantage
ASTON MARTIN,Vantage Roadster,Vantage
ASTON MARTIN,Vantage Cupê,Vantage Cupê
ASTON MARTIN,Vantage Cupê F1 Edition,Vantage Cupê F1 Edition
ASTON MARTIN,Vantage Roadster F1 Edition,Vantage F1 Edition
ASTON MARTIN,Vantage S,Vantage S
ASTON MARTIN,Vantage S Coupe,Vantage S
ASTON MARTIN,Virage Coupe,Virage
Audi,80,80
Audi,A1,A1
Audi,A1 Sportback,A1
Audi,A1 Sport,A1 Sport
Audi,A1 Sport. S Edition,A1 Sport. S Edition
Audi,A3,A3
Audi,A3 Cabriolet,A3
Audi,A3 Sedan,A3
Audi,A3 Sportback,A3
Audi,A3 Sedan Advance,A3 Advance
Audi,A3 Cabriolet Ambition,A3 Ambition
Audi,A3 Cabriolet Perfor.,A3 Perfor.
Audi,A3 Sedan Performance,A3 Performance
Audi,A3 Sedan Prestige,A3 Prestige
Audi,A3 Sedan Prestige Plus,A3 Prestige Plus
Audi,A3 Sedan S-Line,A3 S Line
Audi,A3 Sedan S-Line Limited,A3 S Line Limited
Audi,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic,A3 Sed. Ambit.16V TB FSI S tronic
Audi,A3 Sed. Ambition,A3 Sed. Ambition
Audi,A3 Sed. P. Plus Tech,A3 Sed. P. Plus Tech
Audi,A3 Sed. P.Plus,A3 Sed. P.Plus
Audi,A3 Sed.Perf. Black,A3 Sed.Perf. Black
Audi,A3 Sport,A3 Sport
Audi,A3 Sportb. Perf. Black,A3 Sportb. Perf. Black
Audi,A3 Sportb. Performance,A3 Sportb. Performance
Audi,A3 Sportb. Performance Black,A3 Sportb. Performance Black
Audi,A3 Sportb. Prestige Plus,A3 Sportb. Prestige Plus
Audi,A3 Sportb. S-Line,A3 Sportb. S Line
Audi,A3 Sportb. S-Line Limited,A3 Sportb. S Line Limited
Audi,A4,A4
Audi,A4 Ambiente,A4 Ambiente
Audi,A4 Ambition,A4 Ambition
Audi,A4 Attraction,A4 Attraction
Audi,A4 Launch Edition,A4 Launch Edition
Audi,A4 Avant Lim. Ed.,A4 Lim. Ed.
Audi,A4 Limited Edition,A4 Limited Edition
Audi,A4 Perfor. Black,A4 Perfor. Black
Audi,A4 Avant Prest. Plus,A4 Prest. Plus
Audi,A4 Prestige,A4 Prestige
Audi,A4 Prestige Plus,A4 Prestige Plus
Audi,A4 S Line,A4 S Line
Audi,A5,A5
Audi,A5 Cabriolet,A5
Audi,A5 Sportback,A5
Audi,A5 Ambiente Sportb.,A5 Ambiente Sportb.
Audi,A5 Ambit. Plus Sport.,A5 Ambit. Plus Sport.
Audi,A5 Ambit. Sport.,A5 Ambit. Sport.
Audi,A5 Attraction Sportb.,A5 Attraction Sportb.
Audi,A5 Coupê,A5 Coupê
Audi,A5 Sedan Performance S Edition,A5 Performance S Edition
Audi,A5 Sportback S-Line,A5 S Line
Audi,A5 Sportb.,A5 Sportb.
Audi,A5 Sportb. Advanc.,A5 Sportb. Advanc.
