brand,model_original,model_primeira_palavra
Alfa Romeo,145 Elegant,145
Alfa Romeo,145 Quadrifoglio,145
Alfa Romeo,145 QV,145
Alfa Romeo,147,147
Alfa Romeo,155,155
Alfa Romeo,155 Super,155
Alfa Romeo,156,156
Alfa Romeo,156 Sport Wagon,156
Alfa Romeo,156 TS/Sport/Elegant,156
Alfa Romeo,164,164
Alfa Romeo,164 Super V6,164
Alfa Romeo,166,166
Alfa Romeo,2300 TI/TI-4,2300
Alfa Romeo,Spider,Spider
ASTON MARTIN,DB12 Coupe,DB12
ASTON MARTIN,DB12 Volante,DB12
ASTON MARTIN,DB9 Coupe,DB9
ASTON MARTIN,DB9 Volante,DB9
ASTON MARTIN,DBS Coupe,DBS
ASTON MARTIN,DBX,DBX
ASTON MARTIN,DBX707,DBX707
ASTON MARTIN,Rapide,Rapide
ASTON MARTIN,Rapide S,Rapide
ASTON MARTIN,Vanquish V12,Vanquish
ASTON MARTIN,Vantage,Vantage
ASTON MARTIN,Vantage Coupe,Vantage
ASTON MARTIN,Vantage Cupê,Vantage
ASTON MARTIN,Vantage Cupê F1 Edition,Vantage
ASTON MARTIN,Vantage Roadster,Vantage
ASTON MARTIN,Vantage Roadster F1 Edition,Vantage
ASTON MARTIN,Vantage S,Vantage
ASTON MARTIN,Vantage S Coupe,Vantage
ASTON MARTIN,Virage Coupe,Virage
Audi,100,100
Audi,100 S-4,100
Audi,80,80
Audi,80 S2 Avant,80
Audi,A1,A1
Audi,A1 Sport,A1
Audi,A1 Sport. S Edition,A1
Audi,A1 Sportback,A1
Audi,A3,A3
Audi,A3 Cabriolet,A3
Audi,A3 Cabriolet Ambition,A3
Audi,A3 Cabriolet Perfor.,A3
Audi,A3 Sed. Ambition,A3
Audi,A3 Sed. P. Plus Tech,A3
Audi,A3 Sed. P.Plus,A3
Audi,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic,A3
Audi,A3 Sed.Perf. Black,A3
Audi,A3 Sedan,A3
Audi,A3 Sedan Advance,A3
Audi,A3 Sedan Performance,A3
Audi,A3 Sedan Prestige,A3
Audi,A3 Sedan Prestige Plus,A3
Audi,A3 Sedan S-Line,A3
Audi,A3 Sedan S-Line Limited,A3
Audi,A3 Sport,A3
Audi,A3 Sportb. Perf. Black,A3
Audi,A3 Sportb. Performance,A3
Audi,A3 Sportb. Performance Black,A3
Audi,A3 Sportb. Prestige Plus,A3
Audi,A3 Sportb. S-Line,A3
Audi,A3 Sportb. S-Line Limited,A3
Audi,A3 Sportback,A3
Audi,A4,A4
Audi,A4 Ambiente,A4
Audi,A4 Ambition,A4
Audi,A4 Attraction,A4
Audi,A4 Avant Lim. Ed.,A4
Audi,A4 Avant Prest. Plus,A4
Audi,A4 Launch Edition,A4
Audi,A4 Limited Edition,A4
Audi,A4 Perfor. Black,A4
Audi,A4 Prestige,A4
Audi,A4 Prestige Plus,A4
Audi,A4 S Line,A4
Audi,A5,A5
Audi,A5 Ambiente Sportb.,A5
Audi,A5 Ambit. Plus Sport.,A5
Audi,A5 Ambit. Sport.,A5
Audi,A5 Attraction Sportb.,A5
Audi,A5 Cabriolet,A5
Audi,A5 Coupê,A5
Audi,A5 Sedan Performance S Edition,A5
Audi,A5 Sportb.,A5
Audi,A5 Sportb. Advanc.,A5
Audi,A5 Sportb. Carbon Ed.,A5
Audi,A5 Sportb. Perf.,A5
Audi,A5 Sportb. Prestige,A5
Audi,A5 Sportb. S Line,A5
Audi,A5 Sportb.Perf.B.,A5
Audi,A5 Sportb.Prestige Plus,A5
Audi,A5 Sportback,A5
Audi,A5 Sportback S-Line,A5
Audi,A6,A6
Audi,A6 Allroad,A6
Audi,A6 Perf. Black,A6
Audi,A6 Performance,A6
Audi,A6 Prestige Plus,A6
Audi,A6 Sport. e-tron Perf. Black (Elétrico),A6
Audi,A7 SP.b. Perf. Bla.,A7
Audi,A7 Sportback,A7
Audi,A7 Sportback Perf.,A7
Audi,A8,A8
Audi,Allroad,Allroad
Audi,Avant RS2,Avant
Audi,E-TRON GT Aut. (Elétrico),E-TRON
Audi,E-TRON Performa. Black Aut. (Elétrico),E-TRON
Audi,E-TRON Performace Aut. (Elétrico),E-TRON
Audi,E-TRON S Sportback Quat. Aut. (Elétrico),E-TRON
Audi,E-TRON Sportb. Perf.Black Aut.(Elétrico),E-TRON
Audi,E-TRON Sportback Perf. Aut. (Elétrico),E-TRON
Audi,Q3,Q3
Audi,Q3 Black Ed.,Q3
Audi,Q3 Black S Line,Q3
Audi,Q3 P. Plus,Q3
Audi,Q3 Perf. Black,Q3
Audi,Q3 Perf. Black.Plus,Q3
Audi,Q3 Performance,Q3
Audi,Q3 Prest.,Q3
Audi,Q3 Prestige,Q3
Audi,Q3 SPB Perf. Black,Q3
Audi,Q3 SPB Perf.Black Plus,Q3
Audi,Q3 SPB Performance,Q3
Audi,Q3 Sportb.,Q3
Audi,Q5,Q5
Audi,Q5 Advanced,Q5
Audi,Q5 Ambiente,Q5
Audi,Q5 Ambition,Q5
Audi,Q5 Attraction,Q5
Audi,Q5 Black,Q5
Audi,Q5 Perf. Black,Q5
Audi,Q5 Performance,Q5
Audi,Q5 Prestige,Q5
Audi,Q5 Prestige Plus,Q5
Audi,Q5 S-Line,Q5
Audi,Q5 S-Line Black,Q5
Audi,Q5 SB P Black.,Q5
Audi,Q5 SB Perf.,Q5
Audi,Q5 SPB. S-Line Black,Q5
Audi,Q5 Sportback Advanced,Q5
Audi,Q5 Sportback S-Line,Q5
Audi,Q6 E-TRON Quattro Perf. Black (Elétrico),Q6
Audi,Q6 E-TRON Quattro Performance (Elétrico),Q6
Audi,Q6 E-Tron Quattro Sportback Performance Black,Q6
Audi,Q7,Q7
Audi,Q7 Perf. Black,Q7
Audi,Q7 Perf.Black,Q7
Audi,Q7 S-Line,Q7
Audi,Q8 E-TRON Launch Edition (Elétrico),Q8
Audi,Q8 E-TRON Performance Black (Elétrico),Q8
Audi,Q8 E-TRON Sportb. Perf. Black (Elétrico),Q8
Audi,Q8 E-TRON Sportb.Launch Edt. (Elétrico),Q8
Audi,Q8 Perf.Black,Q8
Audi,Q8 Perfo.,Q8
Audi,R8,R8
Audi,R8 GT,R8
Audi,R8 Spyder,R8
Audi,RS E-TRON GT Quattro Aut. (Elétrico),RS
Audi,RS Q3,RS
Audi,RS Q3 Sportback,RS
Audi,RS Q8,RS
Audi,RS Q8 Perfornace,RS
Audi,RS3 Sedan,RS3
Audi,RS3 Sedan Track,RS3
Audi,RS3 Sportback,RS3
Audi,RS4,RS4
Audi,RS5,RS5
Audi,RS5 Coupê,RS5
Audi,RS5 SPB. C.Plus Track,RS5
Audi,RS5 SPB. Compet. Plus,RS5
Audi,RS5 Sportback,RS5
Audi,RS6,RS6
Audi,RS7 Sportback,RS7
Audi,S3,S3
Audi,S3 Sedan,S3
Audi,S3 Sportback,S3
Audi,S4,S4
Audi,S5 Cabriolet,S5
Audi,S5 Coupê,S5
Audi,S5 Sportback,S5
Audi,S6,S6
Audi,S6 Plus,S6
Audi,S7,S7
Audi,S8,S8
Audi,SQ5,SQ5
Audi,SQ5 Sportback,SQ5
Audi,SQ6 Sportback E-Tron Quattro (Elétrico),SQ6
Audi,SQ8 Sportback E-Tron Quattro (Elétrico),SQ8
Audi,TT,TT
Audi,TT Roadster,TT
