codigo,nome,s-n
1,Acura,Não
2,Agrale,Não
3,Alfa Romeo,Sim
4,AM Gen,Não
5,Asia Motors,Não
189,ASTON MARTIN,Sim
6,Audi,Sim
207,Baby,Não
7,BMW,Sim
8,BRM,Não
123,Bugre,Não
238,BYD,Sim
236,CAB Motors,Não
10,Cadillac,Sim
245,Caoa Chery,Sim
161,Caoa Chery/Chery,Sim
11,CBT Jipe,Não
136,CHANA,Não
182,CHANGAN,Não
12,Chrysler,Sim
13,CitroÃ«n,Sim
14,Cross Lander,Sim
241,D2D Motors,Não
15,Daewoo,Não
16,Daihatsu,Não
263,Denza,Não
246,DFSK,Não
17,Dodge,Não
147,EFFA,Não
18,Engesa,Não
19,Envemo,Não
20,Ferrari,Sim
249,FEVER,Não
21,Fiat,Sim
149,Fibravan,Não
22,Ford,Sim
190,FOTON,Não
170,Fyber,Não
254,GAC,Sim
199,GEELY,Não
23,GM - Chevrolet,Sim
153,GREAT WALL,Não
24,Gurgel,Não
240,GWM,Sim
152,HAFEI,Sim
214,HITECH ELECTRIC,Sim
25,Honda,Sim
26,Hyundai,Sim
27,Isuzu,Sim
208,IVECO,Não
177,JAC,Sim
251,Jaecoo,Sim
28,Jaguar,Sim
29,Jeep,Sim
264,Jetour,Sim
154,JINBEI,Não
30,JPX,Não
31,Kia Motors,Sim
32,Lada,Não
171,LAMBORGHINI,Sim
33,Land Rover,Sim
260,Leapmotor,Não
34,Lexus,Sim
168,LIFAN,Não
127,LOBINI,Não
35,Lotus,Não
140,Mahindra,Não
36,Maserati,Sim
37,Matra,Não
38,Mazda,Sim
211,Mclaren,Não
39,Mercedes-Benz,Sim
40,Mercury,Não
167,MG,Não
156,MINI,Sim
41,Mitsubishi,Sim
42,Miura,Não
250,NETA,Não
43,Nissan,Sim
252,Omoda,Sim
44,Peugeot,Sim
45,Plymouth,Não
46,Pontiac,Não
47,Porsche,Sim
185,RAM,Sim
186,RELY,Não
48,Renault,Sim
195,Rolls-Royce,Sim
49,Rover,Sim
50,Saab,Não
51,Saturn,Não
52,Seat,Sim
247,SERES,Não
183,SHINERAY,Não
157,smart,Não
125,SSANGYONG,Sim
54,Subaru,Sim
55,Suzuki,Sim
165,TAC,Não
56,Toyota,Sim
57,Troller,Sim
58,Volvo,Sim
59,VW - VolksWagen,Sim
163,Wake,Não
120,Walk,Não
253,ZEEKR,Não
